order_date,order_year,order_month,invoice,customer_id,description,quantity,unit_price,total_cost,sales_bracket,stockcode,invoicedate,price,country
2011-01-12 08:12:00,2011,2011-01,C579889,13853.0,SET OF 3 REGENCY CAKE TINS,-8,4.15,-33.2,,23245,2011-12-01 08:12:00,4.15,United Kingdom
2011-01-12 08:14:00,2011,2011-01,C579890,15197.0,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,1.25,-1.25,,84947,2011-12-01 08:14:00,1.25,United Kingdom
2011-01-12 08:14:00,2011,2011-01,C579890,15197.0,RED SPOT PAPER GIFT BAG,-1,0.82,-0.82,low,23374,2011-12-01 08:14:00,0.82,United Kingdom
2011-01-12 08:14:00,2011,2011-01,C579890,15197.0,MULTI COLOUR SILVER T-LIGHT HOLDER,-2,0.85,-1.7,,84945,2011-12-01 08:14:00,0.85,United Kingdom
2011-01-12 08:18:00,2011,2011-01,C579891,13644.0,BOTANICAL GARDENS WALL CLOCK ,-1,25.0,-25.0,,23485,2011-12-01 08:18:00,25.0,United Kingdom
2011-01-12 08:18:00,2011,2011-01,C579891,13644.0,FRENCH STYLE STORAGE JAR CAFE ,-6,0.29,-1.74,,23186,2011-12-01 08:18:00,0.29,United Kingdom
2011-01-12 08:23:00,2011,2011-01,C579892,13310.0,SWEETHEART BIRD HOUSE,-4,4.15,-16.6,,23461,2011-12-01 08:23:00,4.15,United Kingdom
2011-01-12 08:25:00,2011,2011-01,C579893,13468.0,CERAMIC CAKE STAND + HANGING CAKES,-2,9.95,-19.9,,37449,2011-12-01 08:25:00,9.95,United Kingdom
2011-01-12 08:26:00,2011,2011-01,C579894,13098.0,GLASS APOTHECARY BOTTLE PERFUME,-1,3.95,-3.95,,23012,2011-12-01 08:26:00,3.95,United Kingdom
2011-01-12 08:26:00,2011,2011-01,C579894,13098.0,EGG CUP HENRIETTA HEN CREAM ,-1,1.25,-1.25,,23568,2011-12-01 08:26:00,1.25,United Kingdom
2011-01-12 08:26:00,2011,2011-01,C579894,13098.0,BOX OF 6 MINI 50'S CRACKERS,-6,2.08,-12.48,,23319,2011-12-01 08:26:00,2.08,United Kingdom
2011-01-12 08:27:00,2011,2011-01,C579895,14329.0,RED SPOT PAPER GIFT BAG,-5,0.82,-4.1,,23374,2011-12-01 08:27:00,0.82,United Kingdom
2011-01-12 08:27:00,2011,2011-01,C579896,13971.0,MEDIUM PARLOUR PICTURE FRAME ,-2,4.15,-8.3,,23456,2011-12-01 08:27:00,4.15,United Kingdom
2011-01-12 08:29:00,2011,2011-01,C579897,17636.0,BOX OF 6 CHRISTMAS CAKE DECORATIONS,-2,3.75,-7.5,,23382,2011-12-01 08:29:00,3.75,United Kingdom
2011-01-12 08:29:00,2011,2011-01,C579897,17636.0,CHILDRENS CUTLERY SPACEBOY ,-1,4.15,-4.15,,23256,2011-12-01 08:29:00,4.15,United Kingdom
2011-01-12 08:29:00,2011,2011-01,C579897,17636.0,JUMBO BAG VINTAGE DOILY ,-1,2.08,-2.08,,23203,2011-12-01 08:29:00,2.08,United Kingdom
2011-01-12 08:29:00,2011,2011-01,C579897,17636.0,HEART OF WICKER LARGE,-2,2.95,-5.9,,22470,2011-12-01 08:29:00,2.95,United Kingdom
2011-01-12 08:32:00,2011,2011-01,C579898,14299.0,ANGEL DECORATION STARS ON DRESS,-1,0.42,-0.42,low,22153,2011-12-01 08:32:00,0.42,United Kingdom
2011-01-12 08:32:00,2011,2011-01,C579898,14299.0,HOMEMADE JAM SCENTED CANDLES,-1,1.45,-1.45,,22969,2011-12-01 08:32:00,1.45,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,GARDENERS KNEELING PAD KEEP CALM ,24,1.65,39.6,medium,23301,2011-12-01 08:33:00,1.65,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,BOX OF VINTAGE JIGSAW BLOCKS ,3,5.95,17.85,medium,22623,2011-12-01 08:33:00,5.95,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,PINK FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,medium,20970,2011-12-01 08:33:00,3.75,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,SET OF 6 RIBBONS PERFECTLY PRETTY  ,6,2.89,17.34,medium,23562,2011-12-01 08:33:00,2.89,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,medium,71477,2011-12-01 08:33:00,3.95,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,SET OF 2 TRAYS HOME SWEET HOME,2,9.95,19.9,medium,23407,2011-12-01 08:33:00,9.95,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,NATURAL SLATE HEART CHALKBOARD ,6,2.95,17.7,medium,22457,2011-12-01 08:33:00,2.95,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,ROTATING SILVER ANGELS T-LIGHT HLDR,12,2.55,30.6,medium,84347,2011-12-01 08:33:00,2.55,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,HEART SHAPED HOLLY WREATH,4,4.15,16.6,medium,23129,2011-12-01 08:33:00,4.15,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,0.85,20.4,medium,22577,2011-12-01 08:33:00,0.85,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,MAGNETS PACK OF 4 VINTAGE COLLAGE,24,0.85,20.4,medium,22402,2011-12-01 08:33:00,0.85,United Kingdom
2011-01-12 08:33:00,2011,2011-01,579899,15687.0,GINGHAM HEART DECORATION,24,0.85,20.4,medium,22595,2011-12-01 08:33:00,0.85,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,LUNCH BAG PAISLEY PARK  ,10,1.65,16.5,medium,23583,2011-12-01 08:34:00,1.65,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,GUMBALL COAT RACK,6,2.55,15.3,medium,22467,2011-12-01 08:34:00,2.55,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,JUMBO BAG PAISLEY PARK,10,2.08,20.8,medium,23581,2011-12-01 08:34:00,2.08,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,SPOTTY BUNTING,3,4.95,14.85,medium,23298,2011-12-01 08:34:00,4.95,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,ANTIQUE SILVER T-LIGHT GLASS,12,1.25,15.0,medium,84946,2011-12-01 08:34:00,1.25,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,COLOURED GLASS STAR T-LIGHT HOLDER,8,3.95,31.6,medium,71477,2011-12-01 08:34:00,3.95,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,COLOUR GLASS T-LIGHT HOLDER HANGING,16,0.65,10.4,medium,84755,2011-12-01 08:34:00,0.65,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,DOLLY CABINET 2 DRAWERS ,2,12.5,25.0,medium,23459,2011-12-01 08:34:00,12.5,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,DOLLY CABINET 3 DRAWERS ,2,14.95,29.9,medium,23458,2011-12-01 08:34:00,14.95,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,HOME SWEET HOME 2 DRAWER CABINET,4,4.95,19.8,medium,23405,2011-12-01 08:34:00,4.95,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,WOOD BLACK BOARD ANT WHITE FINISH,2,7.95,15.9,medium,82484,2011-12-01 08:34:00,7.95,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,WOODEN PICTURE FRAME WHITE FINISH,6,2.95,17.7,medium,82482,2011-12-01 08:34:00,2.95,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,WOODEN FRAME ANTIQUE WHITE ,6,2.95,17.7,medium,82494L,2011-12-01 08:34:00,2.95,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,NATURAL SLATE HEART CHALKBOARD ,6,2.95,17.7,medium,22457,2011-12-01 08:34:00,2.95,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,PAINTED METAL PEARS ASSORTED,8,1.69,13.52,medium,21136,2011-12-01 08:34:00,1.69,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,13.52,medium,84879,2011-12-01 08:34:00,1.69,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,ZINC WILLIE WINKIE  CANDLE STICK,12,0.85,10.2,medium,84832,2011-12-01 08:34:00,0.85,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,CHERUB HEART DECORATION GOLD,12,0.83,9.96,low,23224,2011-12-01 08:34:00,0.83,United Kingdom
2011-01-12 08:34:00,2011,2011-01,579900,15951.0,HEART OF WICKER LARGE,6,2.95,17.7,medium,22470,2011-12-01 08:34:00,2.95,United Kingdom
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,MINI CAKE STAND  HANGING STRAWBERY,8,1.65,13.2,medium,22055,2011-12-01 08:35:00,1.65,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,STRAWBERRY CERAMIC TRINKET POT,12,1.25,15.0,medium,21232,2011-12-01 08:35:00,1.25,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,STRAWBERRY FAIRY CAKE TEAPOT,8,4.95,39.6,medium,22649,2011-12-01 08:35:00,4.95,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,CERAMIC CAKE DESIGN SPOTTED MUG,12,1.49,17.88,medium,37448,2011-12-01 08:35:00,1.49,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,CERAMIC CAKE DESIGN SPOTTED PLATE,12,1.49,17.88,medium,37447,2011-12-01 08:35:00,1.49,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,TEA TIME OVEN GLOVE,10,1.25,12.5,medium,47559B,2011-12-01 08:35:00,1.25,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,TEA TIME KITCHEN APRON,3,5.95,17.85,medium,47567B,2011-12-01 08:35:00,5.95,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,SNACK TRAY RED GINGHAM,8,1.95,15.6,medium,23578,2011-12-01 08:35:00,1.95,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,MAGNETS PACK OF 4 SWALLOWS,12,0.39,4.68,low,22398,2011-12-01 08:35:00,0.39,Germany
2011-01-12 08:35:00,2011,2011-01,579901,12569.0,POSTAGE,3,18.0,54.0,medium,POST,2011-12-01 08:35:00,18.0,Germany
2011-01-12 08:39:00,2011,2011-01,C579902,13365.0,CLASSIC GLASS COOKIE JAR,-1,4.15,-4.15,,23169,2011-12-01 08:39:00,4.15,United Kingdom
2011-01-12 08:39:00,2011,2011-01,C579902,13365.0,LARGE CERAMIC TOP STORAGE JAR,-2,1.65,-3.3,,23165,2011-12-01 08:39:00,1.65,United Kingdom
2011-01-12 08:39:00,2011,2011-01,C579902,13365.0,BOX OF VINTAGE JIGSAW BLOCKS ,-3,5.95,-17.85,,22623,2011-12-01 08:39:00,5.95,United Kingdom
2011-01-12 08:39:00,2011,2011-01,C579902,13365.0,RECIPE BOX PANTRY YELLOW DESIGN,-3,2.95,-8.85,,22666,2011-12-01 08:39:00,2.95,United Kingdom
2011-01-12 08:41:00,2011,2011-01,C579903,18130.0,"WHITE TEA,COFFEE,SUGAR JARS",-7,1.95,-13.65,,85159B,2011-12-01 08:41:00,1.95,United Kingdom
2011-01-12 08:43:00,2011,2011-01,C579904,17049.0,CREAM SWEETHEART MINI CHEST,-2,12.75,-25.5,,85066,2011-12-01 08:43:00,12.75,United Kingdom
2011-01-12 08:43:00,2011,2011-01,C579904,17049.0,3 DRAWER ANTIQUE WHITE WOOD CABINET,-2,8.95,-17.9,,82486,2011-12-01 08:43:00,8.95,United Kingdom
2011-01-12 08:43:00,2011,2011-01,C579904,17049.0,WOOD 2 DRAWER CABINET WHITE FINISH,-2,6.95,-13.9,,82483,2011-12-01 08:43:00,6.95,United Kingdom
2011-01-12 08:44:00,2011,2011-01,C579905,13078.0,POPCORN HOLDER,-12,0.72,-8.64,,22197,2011-12-01 08:44:00,0.72,United Kingdom
2011-01-12 08:46:00,2011,2011-01,C579906,17063.0,TRADITIONAL KNITTING NANCY,-1,1.65,-1.65,,22621,2011-12-01 08:46:00,1.65,United Kingdom
2011-01-12 08:48:00,2011,2011-01,C579907,UNKNOWN,FAMILY ALBUM WHITE PICTURE FRAME,-2,7.65,-15.3,,22169,2011-12-01 08:48:00,7.65,EIRE
2011-01-12 08:49:00,2011,2011-01,C579908,14527.0,Discount,-1,28.68,-28.68,,D,2011-12-01 08:49:00,28.68,United Kingdom
